Production ID,title,year,month,start_date,end_date,date_edited,information source,Notes on production,Confidence,organisation,venue
the-white-rabbit-show-1975,The White Rabbit Show,1975,,,,2026-04-06,Program available at https://ltst.net.au/programs,As of 2026-04-06 the earliest record of student theatre at La Trobe in the database (11 years after the establisment of the University). The first production by the La Trobe University Drama Group.,High,org-drama-group,
a-pain-in-the-arts-1976,A Pain in the Arts,1976,9,1976-08-09,1976-11-09,2026-04-06,Program available at https://ltst.net.au/programs,,High,org-drama-group; org-film-video,venue-menzies
coralie-landsdowne-says-no-1976,Coralie Lansdowne Says No,1976,,,,2026-04-06,Program available at https://ltst.net.au/programs,,High,org-lust,venue-menzies
a-flash-in-the-pants-1977,A Flash In The Pants,1977,,,,2026-04-06,Program available at https://ltst.net.au/programs,,High,org-lust,venue-menzies
thesmophoriazusae-1977,Aristophanes Thesmophoriazusae,1977,,,,2026-04-06,Program available at https://ltst.net.au/programs,,High,org-lust,venue-moat
lustomania-1978,Lustomania,1978,,,,2026-04-06,Program available at https://ltst.net.au/programs,,High,org-lust,
